description,category
Naivas Supermarket purchase,Groceries
Monthly Safaricom Bill,Utilities
KPLC Tokens purchase,Utilities
Uber ride to town,Transport
Bolt ride home,Transport
Lunch at Java House,Food & Dining
Dinner with friends at Artcaffe,Food & Dining
Netflix monthly subscription,Entertainment
Spotify Premium,Entertainment
New pair of shoes from Bata,Shopping
T-shirt from LC Waikiki,Shopping
Painkillers from Goodlife Pharmacy,Health
Consultation at Nairobi Hospital,Health
Weekly grocery shopping at Carrefour,Groceries
Zuku Internet Bill,Utilities
Matatu fare to Westlands,Transport
Movie tickets at Century Cinemax,Entertainment
Friday night pizza order,Food & Dining
